term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
phrase,-0.013113185939520594,-0.008164649984675998,-0.0053379453629027185,0.008498030892264807,0.030208038251090558,-0.029434095366640434,0.008530233288293804,0.0013024611494607263,0.009688142160295232,0.0399000938326562
acquaint,0.0010045956209272858,-0.02079053698209438,0.0035544366188615117,0.00819672108699777,0.0071470059528683655,-0.005638707465149717,-0.004855740075466408,0.005894701948198536,0.006002098967749503,0.016283041401992743
fever,-0.0074207304085252964,0.01646991230687702,-0.017589491847557353,-0.012403155414774512,0.00609101163770176,-0.029273098617736526,-0.012978655489294944,-0.008075711092728824,-0.01171121037212508,0.025744233232189925
delicate,-0.005117869571352793,-0.005891071201301184,-0.012240100547958531,0.01582543754918499,0.03161028114258617,-0.017121370748109987,-0.01869079504242932,-0.02271718270956366,-0.029242106461371264,-0.010620468598893741
famine,-0.0032296915977552978,0.008775719109312439,-0.009062525686577555,-0.0007590455672452075,0.023118145514615964,0.0051366997871930276,0.018706657956935463,-0.02131828889578266,-0.023201255100564644,-0.010443652976655234
fourteen,-0.00518235287679922,0.012570528787313545,0.0365648405004301,0.03031492109186691,-0.016508447275821125,0.008557109877364688,-0.007825285125209025,0.004016155322536519,-0.002006467811310489,0.007119580182309487
weather,0.0005273287671141578,0.006260580272596422,-0.01060498243158178,0.01861963491951935,0.00804299939311983,-0.012484030346070424,-0.0008833058224800433,-0.006492536623709855,-0.01686658156867331,0.0004337936006087173
lusty,-0.008637991843515784,0.01844299039775787,-0.001833600899839338,0.018923438473195626,0.011319660959961274,-0.009650345869592231,0.0007539774603513016,0.004909252534365027,-0.006693825368621675,0.03495670738484871
compell,0.002491680709234817,-0.007508813654906799,-0.006780890137419671,0.01603890666363957,0.004943408039690201,-0.004122044819573604,0.006493448101320923,-0.0015371478377562142,-0.0010319166625286647,0.01683152322973829
devotion,0.004433690258856715,0.009817030686099038,0.010366071036400177,-0.0027291876763848055,0.017514186183278116,0.003851019416545926,0.0007537330113287048,-0.009967696315748453,-0.008423562236269416,-0.011904434387854546
peer,0.009636276596223299,0.0052376533297965044,0.002980560926172476,0.008699748300852787,0.009254015717042475,-0.018431785704274305,0.016325080868911167,0.003381579989757383,-0.01761632898873819,-0.012765396036183208
fifty,0.009522978750179701,-0.012440423063575706,-0.010277335092979385,0.0312898382442605,-0.007390730358305425,0.0024494860771923223,-0.009336441908917924,0.024611846856111216,-0.027874664207501315,0.02318810052715531
exercise,-0.004957095432133378,0.0034898577741033065,-0.010175455263371335,0.009635567818766285,0.032418060406487065,-0.028852593471879556,0.0029179096930339837,-0.011500830408916203,-0.01775446278511337,-0.014352786487822344
period,0.017053511485784288,0.0032761168564472078,-0.004377407184123287,-0.0003993036693360366,0.015133123492158443,-0.014206228901684437,-0.0035023423654564683,-0.014018744931672565,-0.003979318110407741,0.00754784027881783
envious,0.01705162171212252,0.013456436477160104,0.030384387114345084,-0.0002962426291590612,0.020027680641255076,-0.0037909775380868278,-0.0026929468740498146,0.0044089956399611455,-0.0012894536872080087,0.001676714474294072
utmost,-0.010489621346712021,0.0013509348421129291,-0.010731799780184108,0.0013310539872627577,0.0066251202464760375,-0.01034328069636338,-0.010093123444527764,0.01313662614323502,-0.02263799365632157,0.025911108833665514
confine,0.0005612525555121615,0.006941684547061725,-0.011319077851558886,0.009790569933928796,0.03057300609211716,-0.018671167874618914,-0.0015396013655779896,-0.011794100528177306,-0.01227838366619766,0.0031408650243539143
vassal,-0.0023009880617252576,-0.02513238852009498,0.002996461126817882,0.013365405798701937,-0.0008593859828398291,-0.009194900978583925,-0.007220756339140416,-0.032479126516812375,0.0065964248748029515,-0.003943675074421893
adder,0.0009346190403732773,0.012069652166848846,-0.012247364807548403,-0.007553216931935521,0.030540783176112238,0.016562278421467277,0.006532931462391569,0.015876376695869058,0.07140284871925083,-0.023076964108939745
wet,0.006448428089332774,-0.006463927005790326,-0.0022559108195311472,0.007895237052716724,0.004475555112471306,-0.010343048477385245,0.015156800873065786,-0.005992945420717666,-0.0012770041917353682,-0.007636158552830338
flame,-0.001461526295666257,-0.014200544623660988,-0.005969117086377018,-0.0032515747120472785,0.01739413309725955,0.013308847461884413,0.004622885709473643,-0.02039574936163379,0.01948640282141055,0.020451704854197436
rot,0.00132920296193298,0.0010779373260153494,-0.008593547244500819,-0.00926992814402483,0.00419816956653342,-0.01970159526296413,-0.009786088803834745,-0.012656145249511601,-0.018812201252821993,0.005023993516228203
budge,-0.0035466882816908136,0.0027871389187887723,-0.001002673222383522,0.01508151784561438,0.00884180537618032,-0.0066308549159880105,0.002592192851247628,-0.014756608314560936,0.005946792930689623,0.010609735024031482
