doc_a,doc_b,cityblock,euclidean,cosine,jaccard,dice,js
7,13,19180.228941362442,1629.09999096997,0.9669539388487775,0.7231467473524962,0.566350710900474,0.7278556292128018
7,14,22634.975086482245,1851.2843306806874,0.9980443987972965,0.7341009743135518,0.5799048418695774,0.7177904818193573
7,15,19418.84056999176,1779.4763002254776,0.9980148752213536,0.7464454976303317,0.5954631379962193,0.7335305203991315
7,16,23270.357266503925,2803.7626384175896,0.9905720397387933,0.7138542846357115,0.5550337540358087,0.7107233841575353
7,17,21919.061621249675,2114.0152402379817,0.9983825931906133,0.7256062631277449,0.5693736889421637,0.7194144863550082
8,9,23227.13647602154,1256.5005275290623,0.9528129470145139,0.7236863379143088,0.5670129212059792,0.6988117724512853
8,10,21581.931323729525,1308.8906770768451,0.9066109213608898,0.7309540150995195,0.5759870200108167,0.6991542456752047
8,11,25047.44137770507,1751.1988201942352,0.9972164205898711,0.735217673814165,0.5812997688158232,0.7217140763996827
8,12,26689.832820039002,2441.1623322809182,0.9972765123144977,0.7304827175208581,0.5754019481281539,0.7078662614048303
8,13,20869.253304979058,1526.1152609456954,0.9972771148649151,0.729498861047836,0.5741819811743613,0.7274881550829986
8,14,23886.265162754054,1730.6287111082272,0.9893486392787629,0.7285989099070215,0.5730677089900391,0.7063891068063823
8,15,20822.043289778867,1659.8297742735297,0.9967609774826255,0.7393071756804525,0.5864292723959064,0.7206099658232878
8,16,25247.035357980636,2738.4783178620364,0.9983971434253937,0.7252138902868647,0.5688906435057245,0.7176672198896049
8,17,23365.211464652384,2013.2324038751046,0.9960755096796866,0.7266985319221577,0.5707199356482102,0.7129932758728414
9,10,19231.02695416159,1053.5208413710598,0.6251640664723581,0.6671436236809157,0.5005367686527107,0.6255415083546457
9,11,25947.962564049893,1714.246110727821,0.9951174139753308,0.7322987390882638,0.5776587605202754,0.7185476353977959
9,12,27961.728309748676,2414.9691866619464,0.9960486328469688,0.742375366568915,0.590299638568264,0.7161390410204396
9,13,22011.762617117587,1483.9218816552689,0.9952511908670234,0.7387404223509625,0.5857164024299897,0.7295497263979942
9,14,24488.55264796544,1653.347822511747,0.9344594118841708,0.7287919783542893,0.573306623262802,0.700598468336678
9,15,21849.56462365206,1622.363207930071,0.9965977127259932,0.7403189066059226,0.5877034358047016,0.7199155628003551
9,16,26563.047377671246,2715.5107967451836,0.9978108120827535,0.7413679710621506,0.5890267798824298,0.7247907531226674
9,17,24350.472600203506,1982.2364943117082,0.9955600450921142,0.7273497036409822,0.571523619427811,0.7150559080124348
10,11,24388.64470221412,1781.4819189191849,0.9965522255282684,0.734229576008273,0.5800653594771242,0.7214603732369467
10,12,26462.873989038308,2462.4487736386072,0.9963146630997488,0.748218159281066,0.5977224904072286,0.719066791672333
10,13,20371.45694526573,1561.5360129194646,0.9974139852760366,0.7317914384256441,0.5770276755719085,0.7307946756249216
10,14,23451.287716413117,1761.040957459166,0.9888472287729771,0.7300322197727658,0.5748431032180531,0.7102528797517992
10,15,20357.608662206658,1692.4251061427897,0.9968927239784153,0.7453590849428089,0.5940816021521447,0.7253106913084301
10,16,24928.486645988723,2758.366480448108,0.9984710064393173,0.734841788934064,0.5808299566857622,0.7270937602093506
10,17,22636.62657452771,2033.3270705659347,0.9884128490071799,0.7294948397609995,0.5741769987174006,0.7164528252397337
11,12,28591.723199711374,2692.565849081881,0.9976783963233055,0.728187415527857,0.5725587436533239,0.7104874100916623
11,13,21305.242051867786,1723.5771932874632,0.8145542467068595,0.7297245600612089,0.5744616774582141,0.69687910815769
11,14,25730.43255987128,2075.7319877947884,0.9976157519858612,0.7236351854851774,0.5669501205736769,0.7104994944916688
11,15,22549.107557914132,2011.7603801892396,0.9973446935285785,0.7314582586886421,0.5766134726733512,0.7187993728977856
11,16,26980.075488933835,2964.978806463215,0.9986234579087124,0.7206306153585353,0.5632701735789055,0.7159853578098418
11,17,25715.94593717406,2312.404013505797,0.9974161143269235,0.745851676261429,0.5947077089239908,0.7288287270788689
12,13,24758.746359674962,2552.513566200076,0.9980075038225559,0.7361206305688828,0.5824295010845987,0.7230339240686968
12,14,27315.625839232915,2683.651140368678,0.9979695549157876,0.7150954653937948,0.5565358718365452,0.6968398032983192
12,15,24310.242218549236,2635.155026006657,0.9983343690462785,0.7299317517062074,0.574718526100307,0.7063640929551984
12,16,28343.912447584775,3417.669727359369,0.9984912303977388,0.7081578536889721,0.5481767688964019,0.6959883814284229
12,17,27123.275398648297,2871.7777911699554,0.9987412091088912,0.7252231094410522,0.5689019896831246,0.707517911535551
13,14,22012.197294275662,1890.4640382026816,0.9983346291288854,0.7363128491620111,0.5826702033598585,0.7257681022022803
