term_str,n,p,i,n_chars,max_pos,n_pos,stem_porter,stem_snowball,stem_lancaster,stop,df,idf,dfidf,tfidf_mean,tfidf_sum,tfidf_median,tfidf_max,pos_group
thou—to,1,2.257270102683217e-06,18.75698950901925,7,JJ,1,thou—to,thou—to,thou—to,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,JJ
sooty,1,2.257270102683217e-06,18.75698950901925,5,JJ,1,sooti,sooti,sooty,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,JJ
disallow,1,2.257270102683217e-06,18.75698950901925,8,VBP,1,disallow,disallow,disallow,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,VB
guardage,1,2.257270102683217e-06,18.75698950901925,8,NN,1,guardag,guardag,guard,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
darlings,1,2.257270102683217e-06,18.75698950901925,8,NNS,1,darl,darl,darl,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
usurpingly,1,2.257270102683217e-06,18.75698950901925,10,RB,1,usurpingli,usurp,usurp,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,RB
—which,1,2.257270102683217e-06,18.75698950901925,6,JJ,1,—which,—which,—which,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,JJ
hoary-headed,1,2.257270102683217e-06,18.75698950901925,12,JJ,1,hoary-head,hoary-head,hoary-headed,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,JJ
mirthful,1,2.257270102683217e-06,18.75698950901925,8,JJ,1,mirth,mirth,mirth,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,JJ
judas,1,2.257270102683217e-06,18.75698950901925,5,NNP,1,juda,juda,juda,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
hiems,1,2.257270102683217e-06,18.75698950901925,5,NNP,1,hiem,hiem,hiem,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
sprang,1,2.257270102683217e-06,18.75698950901925,6,NN,1,sprang,sprang,sprang,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
refer,1,2.257270102683217e-06,18.75698950901925,5,VBP,1,refer,refer,ref,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,VB
stow,1,2.257270102683217e-06,18.75698950901925,4,NN,1,stow,stow,stow,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
to—come,1,2.257270102683217e-06,18.75698950901925,7,NN,1,to—com,to—com,to—come,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
bess,1,2.257270102683217e-06,18.75698950901925,4,NNP,1,bess,bess,bess,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
carrack,1,2.257270102683217e-06,18.75698950901925,7,NN,1,carrack,carrack,carrack,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
footstool,1,2.257270102683217e-06,18.75698950901925,9,NN,1,footstool,footstool,footstool,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
pops,1,2.257270102683217e-06,18.75698950901925,4,VBZ,1,pop,pop,pop,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,VB
disputed,1,2.257270102683217e-06,18.75698950901925,8,VBN,1,disput,disput,disput,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,VB
apennines,1,2.257270102683217e-06,18.75698950901925,9,NNP,1,apennin,apennin,apennin,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
affecteth,1,2.257270102683217e-06,18.75698950901925,9,VBD,1,affecteth,affecteth,affecte,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,VB
absey,1,2.257270102683217e-06,18.75698950901925,5,NN,1,absey,absey,absey,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
rotted,1,2.257270102683217e-06,18.75698950901925,6,VBD,1,rot,rot,rot,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,VB
suffic,1,2.257270102683217e-06,18.75698950901925,6,JJ,1,suffic,suffic,suff,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,JJ
facile,1,2.257270102683217e-06,18.75698950901925,6,JJ,1,facil,facil,facil,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,JJ
knightly,1,2.257270102683217e-06,18.75698950901925,8,RB,1,knightli,knight,knight,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,RB
conversion,1,2.257270102683217e-06,18.75698950901925,10,NN,1,convers,convers,convert,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
drownèd,1,2.257270102683217e-06,18.75698950901925,7,JJ,1,drownèd,drownèd,drownèd,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,JJ
murrion,1,2.257270102683217e-06,18.75698950901925,7,NN,1,murrion,murrion,mur,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
landless,1,2.257270102683217e-06,18.75698950901925,8,JJ,1,landless,landless,landless,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,JJ
post-horses,1,2.257270102683217e-06,18.75698950901925,11,NNS,1,post-hors,post-hors,post-horses,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
nob,1,2.257270102683217e-06,18.75698950901925,3,NNP,1,nob,nob,nob,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
three-farthings,1,2.257270102683217e-06,18.75698950901925,15,NN,1,three-farth,three-farth,three-farthings,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
importancy,1,2.257270102683217e-06,18.75698950901925,10,NN,1,import,import,import,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
statesmen,1,2.257270102683217e-06,18.75698950901925,9,NNS,1,statesmen,statesmen,statesm,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
eel-skins,1,2.257270102683217e-06,18.75698950901925,9,NNS,1,eel-skin,eel-skin,eel-skins,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
riding-rods,1,2.257270102683217e-06,18.75698950901925,11,NNS,1,riding-rod,riding-rod,riding-rods,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
nine-men,1,2.257270102683217e-06,18.75698950901925,8,JJ,1,nine-men,nine-men,nine-men,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,JJ
s-morris,1,2.257270102683217e-06,18.75698950901925,8,NN,1,s-morri,s-morri,s-morris,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
bond-slaves,1,2.257270102683217e-06,18.75698950901925,11,NNS,1,bond-slav,bond-slav,bond-slaves,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
lengths,1,2.257270102683217e-06,18.75698950901925,7,NNS,1,length,length,length,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
devesting,1,2.257270102683217e-06,18.75698950901925,9,NNP,1,devest,devest,devest,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
treat,1,2.257270102683217e-06,18.75698950901925,5,VB,1,treat,treat,tre,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,VB
abuser,1,2.257270102683217e-06,18.75698950901925,6,NN,1,abus,abus,abus,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
half-fac,1,2.257270102683217e-06,18.75698950901925,8,JJ,1,half-fac,half-fac,half-fac,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,JJ
half-face,1,2.257270102683217e-06,18.75698950901925,9,NN,1,half-fac,half-fac,half-face,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
mazes,1,2.257270102683217e-06,18.75698950901925,5,VBZ,1,maze,maze,maz,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,VB
examined,1,2.257270102683217e-06,18.75698950901925,8,VBD,1,examin,examin,examin,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,VB
mixtures,1,2.257270102683217e-06,18.75698950901925,8,NNS,1,mixtur,mixtur,mixt,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
homes,1,2.257270102683217e-06,18.75698950901925,5,NNS,1,home,home,hom,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
griping,1,2.257270102683217e-06,18.75698950901925,7,VBG,1,gripe,gripe,grip,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,VB
drier,1,2.257270102683217e-06,18.75698950901925,5,NN,1,drier,drier,dri,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
sufficiency,1,2.257270102683217e-06,18.75698950901925,11,NN,1,suffici,suffici,sufficy,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
lovèd,1,2.257270102683217e-06,18.75698950901925,5,NN,1,lovèd,lovèd,lovèd,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
unbruis,1,2.257270102683217e-06,18.75698950901925,7,JJ,1,unbrui,unbrui,unbru,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,JJ
spangled,1,2.257270102683217e-06,18.75698950901925,8,VBD,1,spangl,spangl,spangl,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,VB
unhack,1,2.257270102683217e-06,18.75698950901925,6,JJ,1,unhack,unhack,unhack,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,JJ
unvex,1,2.257270102683217e-06,18.75698950901925,5,JJ,1,unvex,unvex,unvex,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,JJ
muzzled,1,2.257270102683217e-06,18.75698950901925,7,VBN,1,muzzl,muzzl,muzzl,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,VB
pierced,1,2.257270102683217e-06,18.75698950901925,7,VBN,1,pierc,pierc,pierc,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,VB
loggerhead,1,2.257270102683217e-06,18.75698950901925,10,JJ,1,loggerhead,loggerhead,loggerhead,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,JJ
depended,1,2.257270102683217e-06,18.75698950901925,8,VBN,1,depend,depend,depend,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,VB
greens,1,2.257270102683217e-06,18.75698950901925,6,NNS,1,green,green,green,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
goodfellow,1,2.257270102683217e-06,18.75698950901925,10,NNP,1,goodfellow,goodfellow,goodfellow,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
down-trodden,1,2.257270102683217e-06,18.75698950901925,12,JJ,1,down-trodden,down-trodden,down-trodd,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,JJ
divinely,1,2.257270102683217e-06,18.75698950901925,8,RB,1,divin,divin,divin,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,RB
harbourage,1,2.257270102683217e-06,18.75698950901925,10,NN,1,harbourag,harbourag,harbo,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
forwearied,1,2.257270102683217e-06,18.75698950901925,10,VBN,1,forweari,forweari,forw,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,VB
_play,1,2.257270102683217e-06,18.75698950901925,5,NN,1,_play,_play,_play,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
slug-abed,1,2.257270102683217e-06,18.75698950901925,9,VBP,1,slug-ab,slug-ab,slug-abed,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,VB
villagery,1,2.257270102683217e-06,18.75698950901925,9,NN,1,villageri,villageri,villagery,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
unscratch,1,2.257270102683217e-06,18.75698950901925,9,JJ,1,unscratch,unscratch,unscratch,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,JJ
woful,1,2.257270102683217e-06,18.75698950901925,5,JJ,1,woful,woful,wof,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,JJ
countercheck,1,2.257270102683217e-06,18.75698950901925,12,NN,1,countercheck,countercheck,countercheck,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
deflowered,1,2.257270102683217e-06,18.75698950901925,10,VBN,1,deflow,deflow,deflow,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,VB
quern,1,2.257270102683217e-06,18.75698950901925,5,NN,1,quern,quern,quern,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
painfully,1,2.257270102683217e-06,18.75698950901925,9,RB,1,pain,pain,pain,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,RB
dishabited,1,2.257270102683217e-06,18.75698950901925,10,VBN,1,dishabit,dishabit,dishabit,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,VB
grise,1,2.257270102683217e-06,18.75698950901925,5,NN,1,grise,grise,gris,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
roundure,1,2.257270102683217e-06,18.75698950901925,8,NN,1,roundur,roundur,round,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
old-fac,1,2.257270102683217e-06,18.75698950901925,7,JJ,1,old-fac,old-fac,old-fac,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,JJ
churn,1,2.257270102683217e-06,18.75698950901925,5,NN,1,churn,churn,churn,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
lob,1,2.257270102683217e-06,18.75698950901925,3,NN,1,lob,lob,lob,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
unfolding,1,2.257270102683217e-06,18.75698950901925,9,JJ,1,unfold,unfold,unfold,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,JJ
onset,1,2.257270102683217e-06,18.75698950901925,5,NN,1,onset,onset,onset,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
courageously,1,2.257270102683217e-06,18.75698950901925,12,RB,1,courag,courag,cour,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,RB
silver-bright,1,2.257270102683217e-06,18.75698950901925,13,JJ,1,silver-bright,silver-bright,silver-bright,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,JJ
bow-strings,1,2.257270102683217e-06,18.75698950901925,11,NNS,1,bow-str,bow-str,bow-strings,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
reside,1,2.257270102683217e-06,18.75698950901925,6,RB,1,resid,resid,resid,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,RB
levels,1,2.257270102683217e-06,18.75698950901925,6,NNS,1,level,level,level,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
accommodation,1,2.257270102683217e-06,18.75698950901925,13,NN,1,accommod,accommod,accommod,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
grovelling,1,2.257270102683217e-06,18.75698950901925,10,VBG,1,grovel,grovel,grovel,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,VB
alacrity,1,2.257270102683217e-06,18.75698950901925,8,NN,1,alacr,alacr,alacr,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
agnize,1,2.257270102683217e-06,18.75698950901925,6,VB,1,agniz,agniz,agn,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,VB
regiments,1,2.257270102683217e-06,18.75698950901925,9,NNS,1,regiment,regiment,regy,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
thrice-driven,1,2.257270102683217e-06,18.75698950901925,13,JJ,1,thrice-driven,thrice-driven,thrice-driven,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,JJ
pensioners,1,2.257270102683217e-06,18.75698950901925,10,NNS,1,pension,pension,pend,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
ox-head,1,2.257270102683217e-06,18.75698950901925,7,JJ,1,ox-head,ox-head,ox-head,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,JJ
freckles,1,2.257270102683217e-06,18.75698950901925,8,NNS,1,freckl,freckl,freckl,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
austria_,1,2.257270102683217e-06,18.75698950901925,8,NNP,1,austria_,austria_,austria_,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
chevaliers,1,2.257270102683217e-06,18.75698950901925,10,NNS,1,chevali,chevali,cheva,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
—mount,1,2.257270102683217e-06,18.75698950901925,6,NN,1,—mount,—mount,—mount,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
those—,1,2.257270102683217e-06,18.75698950901925,6,NN,1,those—,those—,those—,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
dew-drops,1,2.257270102683217e-06,18.75698950901925,9,NNS,1,dew-drop,dew-drop,dew-drops,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
well-born,1,2.257270102683217e-06,18.75698950901925,9,JJ,1,well-born,well-born,well-born,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,JJ
verify,1,2.257270102683217e-06,18.75698950901925,6,VB,1,verifi,verifi,ver,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,VB
breed—,1,2.257270102683217e-06,18.75698950901925,6,RB,1,breed—,breed—,breed—,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,RB
—sirrah,1,2.257270102683217e-06,18.75698950901925,7,NNP,1,—sirrah,—sirrah,—sirrah,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
ramm,1,2.257270102683217e-06,18.75698950901925,4,VBP,1,ramm,ramm,ram,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,VB
challeng,1,2.257270102683217e-06,18.75698950901925,8,VBN,1,challeng,challeng,challeng,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,VB
confronts,1,2.257270102683217e-06,18.75698950901925,9,NNS,1,confront,confront,confront,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
barm,1,2.257270102683217e-06,18.75698950901925,4,NN,1,barm,barm,barm,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
birthrights,1,2.257270102683217e-06,18.75698950901925,11,NNS,1,birthright,birthright,birthright,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
foal,1,2.257270102683217e-06,18.75698950901925,4,NN,1,foal,foal,foal,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
sightly,1,2.257270102683217e-06,18.75698950901925,7,RB,1,sightli,sight,sight,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,RB
skin-coat,1,2.257270102683217e-06,18.75698950901925,9,NN,1,skin-coat,skin-coat,skin-coat,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
bob,1,2.257270102683217e-06,18.75698950901925,3,VBP,1,bob,bob,bob,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,VB
crier,1,2.257270102683217e-06,18.75698950901925,5,NN,1,crier,crier,cri,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
liker,1,2.257270102683217e-06,18.75698950901925,5,NNP,1,liker,liker,lik,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
traveler,1,2.257270102683217e-06,18.75698950901925,8,NN,1,travel,travel,travel,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
portance,1,2.257270102683217e-06,18.75698950901925,8,NN,1,portanc,portanc,port,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
mistaketh,1,2.257270102683217e-06,18.75698950901925,9,NNS,1,mistaketh,mistaketh,mistake,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
minstrel,1,2.257270102683217e-06,18.75698950901925,8,NN,1,minstrel,minstrel,minstrel,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
supernal,1,2.257270102683217e-06,18.75698950901925,8,JJ,1,supern,supern,supern,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,JJ
bum,1,2.257270102683217e-06,18.75698950901925,3,NN,1,bum,bum,bum,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
ermasterest,1,2.257270102683217e-06,18.75698950901925,11,JJS,1,ermasterest,ermasterest,ermasterest,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,JJ
loffe,1,2.257270102683217e-06,18.75698950901925,5,NN,1,loff,loff,loff,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
rape,1,2.257270102683217e-06,18.75698950901925,4,NN,1,rape,rape,rap,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
sequence,1,2.257270102683217e-06,18.75698950901925,8,NN,1,sequenc,sequenc,sequ,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
underwrought,1,2.257270102683217e-06,18.75698950901925,12,VBD,1,underwrought,underwrought,underwrought,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,VB
mounteth,1,2.257270102683217e-06,18.75698950901925,8,NN,1,mounteth,mounteth,mounte,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
hair-breadth,1,2.257270102683217e-06,18.75698950901925,12,JJ,1,hair-breadth,hair-breadth,hair-breadth,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,JJ
neeze,1,2.257270102683217e-06,18.75698950901925,5,NN,1,neez,neez,neez,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
disastrous,1,2.257270102683217e-06,18.75698950901925,10,JJ,1,disastr,disastr,disast,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,JJ
sieges,1,2.257270102683217e-06,18.75698950901925,6,NNS,1,sieg,sieg,sieg,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
year—the,1,2.257270102683217e-06,18.75698950901925,8,VB,1,year—th,year—th,year—the,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,VB
affordeth,1,2.257270102683217e-06,18.75698950901925,9,NNS,1,affordeth,affordeth,afforde,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
crotchets,1,2.257270102683217e-06,18.75698950901925,9,NNS,1,crotchet,crotchet,crotchet,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
corin,1,2.257270102683217e-06,18.75698950901925,5,NNP,1,corin,corin,corin,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
bottoms,1,2.257270102683217e-06,18.75698950901925,7,NNS,1,bottom,bottom,bottom,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
overt,1,2.257270102683217e-06,18.75698950901925,5,JJ,1,overt,overt,overt,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,JJ
antres,1,2.257270102683217e-06,18.75698950901925,6,NNS,1,antr,antr,ant,0,1,4.169925001442312,4.169925001442312,0.23166250008012845,4.169925001442312,0.0,4.169925001442312,NN
