topic_id,A MIDSUMMER NIGHT’S DREAM,ALL’S WELL THAT ENDS WELL,CYMBELINE,THE COMEDY OF ERRORS,THE FIRST PART OF HENRY THE SIXTH,THE FIRST PART OF KING HENRY THE FOURTH,THE LIFE AND DEATH OF KING JOHN,THE MERCHANT OF VENICE,THE SECOND PART OF KING HENRY IV,THE SECOND PART OF KING HENRY THE SIXTH,THE THIRD PART OF KING HENRY THE SIXTH,THE TRAGEDY OF ANTONY AND CLEOPATRA,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",THE TRAGEDY OF JULIUS CAESAR,THE TRAGEDY OF KING LEAR,THE TRAGEDY OF MACBETH,"THE TRAGEDY OF OTHELLO, THE MOOR OF VENICE",THE TRAGEDY OF ROMEO AND JULIET,label
T10,0.05728897473418705,0.00044248264205514154,0.004796886804850762,0.0002191727001321854,0.0004008777614925382,0.004996172128394523,0.0004676877418482092,0.011741338643206834,0.019145070099885475,0.054694673376909746,0.018805423973971218,0.06461288977976769,0.3953858878895973,0.13153908347551163,0.0004641707424294137,0.08949777715179144,0.0005085987816946046,0.011513852503328752,"T10 hamlet, lord, caesar, king, thou, queen, horatio"
T11,0.00021089059487197864,0.10565030687651492,0.0005045135907481283,0.00021917269945202712,0.025400425347825873,0.00028333099703401507,0.0004676877416591784,0.00044011172915441174,0.10522500649460305,0.006209831817875574,0.004537746805557972,0.004578596231355416,0.00027321479144523935,0.08923831356909605,0.053172291629729584,0.03605475077558031,0.0005085987829992182,0.0004306805473926163,"T11 falstaff, lord, man, thou, hostess, thee, lordship"
T12,0.016287154125583625,0.03017267343228285,0.0005045135872531176,0.00021917269994179138,0.03690114613779818,0.03084518066714619,0.00046768774072995946,0.0018858678605176292,0.0002504713624052293,0.0005535889688326488,0.0004502604599538656,0.0009432730419841877,0.00027321479173487127,0.07441313666329746,0.150200404057952,0.0006457153642190464,0.051233278546505744,0.0686245333484849,"T12 lear, fool, thou, thee, sir, man, romeo"
T13,0.00021089059437665378,0.0004424826425050205,0.0971297402728708,0.00021917269978855562,0.05672658050632126,0.10922638605864797,0.00046768774210143564,0.0169604605221699,0.053777101375195195,0.03298708406228447,0.036373309919851445,0.4209660272787377,0.005406817479988857,0.1380253999137158,0.06024855585739363,0.21746754893982367,0.0005085987830726955,0.00043068054870872686,"T13 antony, enobarbus, thee, thou, man, lord, sir"
T14,0.1900415577299724,0.006306313722812975,0.05365167290404661,0.00021917269995533025,0.00040087776079451187,0.0002833309958486477,0.02726567557253527,0.1096460155781525,0.00025047136213376736,0.0005535889647379204,0.0004502604592034693,0.008592734300425878,0.00027321479113652004,0.0006188059429464601,0.00046417074076833136,0.003884318307815948,0.15388600506503675,0.13407560977253744,"T14 othello, iago, love, night, day, lysander, hermia"
T15,0.00021089059450212755,0.010292089535362219,0.0005045135878456618,0.00021917269965609004,0.022391638055618075,0.00028333099743588,0.11725551122865294,0.017530966021381402,0.006602053266326263,0.04202278327597323,0.00045026046137543657,0.02322248955458703,0.02377063341556463,0.0006188059458662003,0.10454367755154514,0.08077349086154074,0.0005085987815287537,0.24142501061964808,"T15 romeo, thou, thee, night, love, hubert, edmund"
T16,0.00021089059400746803,0.02047070302191232,0.03019817841939928,0.00021917270027009775,0.04461411065707933,0.03145420750026504,0.06284818487315778,0.10885556808984927,0.05274169943052741,0.00274726537144456,0.00045026046157236124,0.012580750364283941,0.04638110413703956,0.0006188059440590156,0.09788170095918616,0.009627851411990776,0.0005085987809655371,0.00043068054907181136,"T16 father, shylock, lord, son, portia, brother, thou"
T17,0.00021089059307559605,0.0004424826394097532,0.0005045135857185725,0.0002191726986867598,0.0370599858364677,0.00028333099551267434,0.0004676877401192043,0.00044011172748399966,0.00025047136118990025,0.0005535889648935701,0.0004502604583677202,0.000943273039004217,0.0002732147899134283,0.0006188059435763193,0.00046417074046789785,0.1600001809517739,0.0707167117205559,0.00043068054686659586,"T17 macduff, malcolm, ross, iago, cassio, duncan, murder"
T18,0.0002108905927097347,0.0014608422542309373,0.0005045135848512388,0.0002191726993191303,0.06384383679509907,0.00028333099517154254,0.00046768774138515574,0.06774578626560732,0.00025047136044165156,0.003749322566740716,0.0004502604579254367,0.003033620370138113,0.00027321478927206354,0.0006188059416300985,0.0004641707395608545,0.0006457153606032551,0.0005085987755224822,0.016682411559967282,"T18 talbot, countess, gold, messenger, lady, portia, lead"
T19,0.00021089059485518115,0.4156677914513411,0.06150332809962315,0.00021917270005761911,0.0004008777621386077,0.0002833309978530154,0.05975009742275387,0.0272008857295759,0.07515913168534476,0.0005535889685563625,0.00045026045957382086,0.024082735766893702,0.0002732147919506001,0.03370731870867156,0.0004641707432380396,0.13458922777457843,0.06384193205236473,0.10047750533505902,"T19 parolles, king, lord, bertram, lafew, thee, sir"
